,ctwl/nm,transmissionDepth/dB,r/%,n_ac,n_dc
0,1535.948,-76.574,0.9999999779910157,0.0001347883372022139,0.0011849359483524179
1,1536.168,-76.517,0.9999999777002497,0.0001348076434770256,0.0011847662495247915
2,1537.284,-76.409,0.9999999771387486,0.0001349055789437977,0.0011839061617762233
3,1538.344,-73.884,0.999999959111611,0.00013499860008607227,0.001183090388105651
4,1539.676,-65.832,0.9999997389041313,0.00013511549080447768,0.0011820668764077637
5,1541.316,-58.842,0.9999986944304873,0.0001352594103076195,0.001180809126746235
6,1543.192,-52.158,0.9999939158487771,0.00013542404017828654,0.0011793736618644988
7,1544.956,-43.474,0.9999550634216946,0.00013557884139995857,0.001178027076499266
8,1546.08,-41.311,0.9999260565005745,0.00013567747891308747,0.001177170650936562
9,1546.48,-39.317,0.9998829692468331,0.00013571258123092693,0.0011768661735036985
10,1546.664,-37.973,0.9998405222866358,0.00013572872829713308,0.001176726166769253
11,1546.732,-36.971,0.9997991369744852,0.0001357346956911658,0.0011766744335799607
12,1546.768,-36.191,0.9997596190761253,0.00013573785489977134,0.0011766470472624206
13,1546.788,-35.545,0.999721066934366,0.00013573961001566332,0.001176631833192396
14,1546.8,-34.983,0.9996825319678432,0.0001357406630851985,0.0011766227049392294
15,1546.808,-34.487,0.9996441229351513,0.0001357413651315553,0.0011766166195158027
16,1546.812,-34.042,0.9996057243104044,0.00013574171615473367,0.0011766135768276947
17,1546.82,-33.639,0.9995673865675084,0.00013574241820109049,0.0011766074914986875
18,1546.832,-33.262,0.9995281543017518,0.00013574347127062568,0.0011765983636231987
19,1546.844,-32.914,0.9994887892238823,0.00013574452434016084,0.0011765892358893333
20,1546.856,-32.587,0.9994488116876724,0.00013574557740969603,0.0011765801082970876
21,1546.868,-32.281,0.9994085745622437,0.0001357466304792312,0.0011765709808464588
22,1546.876,-31.988,0.9993672968451335,0.00013574733252558798,0.001176564895958047
23,1546.888,-31.72,0.9993270233437157,0.00013574838559512318,0.0011765557687434384
24,1546.9,-31.458,0.9992851745604312,0.00013574943866465837,0.0011765466416704374
25,1546.908,-31.212,0.9992435155591667,0.00013575014071101515,0.0011765405570337733
26,1546.884,-30.983,0.9992025563575874,0.0001357480345719448,0.0011765588111325735
27,1546.896,-30.762,0.9991609265100898,0.00013574908764147996,0.0011765496840123704
28,1546.908,-30.549,0.9991187482346339,0.00013575014071101515,0.0011765405570337733
29,1546.924,-30.351,0.9990776409783118,0.00013575154480372872,0.0011765283879492461
30,1546.936,-30.166,0.9990375016359825,0.00013575259787326391,0.0011765192613010492
31,1546.948,-29.987,0.9989970021548017,0.0001357536509427991,0.0011765101347944466
32,1546.96,-29.823,0.9989584023293547,0.0001357547040123343,0.0011765010084294355
33,1546.976,-29.665,0.9989198103791181,0.00013575610810504787,0.0011764888401630017
34,1546.984,-29.512,0.9988810775180448,0.00013575681015140465,0.0011764827561241745
35,1546.996,-29.368,0.9988433552258343,0.00013575786322093985,0.0011764736301839176
36,1547.008,-29.237,0.9988079348268672,0.00013575891629047504,0.001176464504385239
37,1547.024,-29.116,0.9987742553679502,0.0001357603203831886,0.0011764523368738946
38,1547.036,-29.004,0.9987422335675488,0.00013576137345272377,0.001176443211405552
39,1547.052,-28.898,0.9987111570508398,0.00013576277754543737,0.0011764310443346442
40,1547.06,-28.797,0.9986808323273598,0.00013576347959179416,0.0011764249608935658
41,1547.06,-28.706,0.9986528994917242,0.00013576347959179416,0.0011764249608935658
42,1547.076,-28.616,0.9986246919025785,0.00013576488368450773,0.0011764127942001555
43,1547.088,-28.538,0.9985997679952141,0.00013576593675404292,0.0011764036693452473
44,1547.108,-28.464,0.9985757048350267,0.00013576769186993487,0.0011763884615682938
45,1547.124,-28.4,0.998554560229254,0.00013576909596264847,0.0011763762956298266
46,1547.136,-28.341,0.9985347895750573,0.00013577014903218366,0.0011763671713411101
47,1547.148,-28.289,0.9985171405131459,0.00013577120210171882,0.0011763580471939336
48,1547.156,-28.218,0.9984926989558369,0.0001357719041480756,0.0011763519645077807
49,1547.172,-28.17,0.9984759472462027,0.0001357733082407892,0.001176339799324186
50,1547.18,-28.127,0.9984607824730476,0.000135774010287146,0.0011763337168267426
51,1536.184,-28.091,0.9984479703992108,0.00013480904756973917,0.0011847539096879018
52,1536.164,-28.089,0.998447255498567,0.00013480729245384722,0.0011847693345241783
53,1536.148,-28.087,0.9984465402686235,0.00013480588836113365,0.0011847816746823874
54,1536.156,-28.088,0.9984468979247672,0.00013480659040749043,0.0011847755045711504
55,1536.176,-28.086,0.9984461825301169,0.00013480834552338238,0.0011847600795742153
56,1536.164,-28.086,0.9984461825301169,0.00013480729245384722,0.0011847693345241783
