,ctwl/nm,peak/dB
289,1542.552,37.439
290,1542.508,37.441
291,1542.468,37.434
292,1542.42,37.428
293,1542.384,37.424
294,1542.34,37.419
295,1542.292,37.413
296,1542.26,37.411
297,1542.216,37.409
298,1542.176,37.403
299,1542.136,37.401
300,1542.096,37.395
301,1542.056,37.392
302,1542.02,37.392
303,1541.984,37.391
304,1541.944,37.387
305,1541.908,37.382
306,1541.868,37.387
307,1541.832,37.377
308,1541.8,37.377
309,1541.764,37.379
310,1541.728,37.372
311,1541.696,37.372
312,1541.656,37.373
313,1541.62,37.372
314,1541.588,37.37
315,1541.552,37.368
316,1541.516,37.369
317,1541.488,37.368
318,1541.452,37.368
319,1541.42,37.37
320,1541.388,37.371
321,1541.352,37.369
322,1541.32,37.372
323,1541.288,37.375
324,1541.256,37.373
325,1541.22,37.377
326,1541.196,37.377
327,1541.164,37.382
328,1541.132,37.383
329,1541.104,37.385
330,1541.072,37.384
331,1541.044,37.386
332,1541.016,37.387
333,1540.984,37.389
334,1540.956,37.396
335,1540.924,37.395
336,1540.9,37.399
337,1540.868,37.406
338,1540.836,37.407
339,1540.812,37.408
340,1540.78,37.408
341,1540.756,37.415
342,1540.728,37.415
343,1540.696,37.419
344,1540.668,37.423
345,1540.64,37.43
346,1540.612,37.43
347,1540.588,37.432
348,1540.56,37.439
349,1540.532,37.439
350,1540.512,37.442
351,1540.48,37.446
352,1540.46,37.454
353,1540.436,37.452
354,1540.408,37.459
355,1540.38,37.464
356,1540.356,37.462
357,1540.336,37.465
358,1540.308,37.472
359,1540.28,37.476
360,1540.256,37.477
361,1540.236,37.481
362,1540.212,37.489
363,1540.188,37.488
364,1540.168,37.491
365,1540.14,37.498
366,1540.116,37.501
367,1540.096,37.502
368,1540.072,37.508
369,1540.048,37.506
370,1540.028,37.515
371,1540.0,37.516
372,1539.98,37.522
373,1539.96,37.526
374,1539.936,37.531
375,1539.912,37.535
376,1539.888,37.539
377,1539.868,37.539
378,1539.848,37.544
379,1539.828,37.549
380,1539.808,37.551
381,1539.784,37.556
382,1539.764,37.556
383,1539.744,37.564
384,1539.724,37.567
385,1539.704,37.569
386,1539.68,37.573
387,1539.66,37.583
388,1539.64,37.583
389,1539.624,37.583
390,1539.608,37.59
391,1539.584,37.591
392,1539.568,37.597
393,1539.544,37.602
394,1539.524,37.605
395,1539.512,37.604
396,1539.488,37.611
397,1539.472,37.614
398,1539.456,37.617
399,1539.436,37.626
400,1539.416,37.63
401,1539.4,37.634
402,1539.38,37.634
403,1539.364,37.639
404,1539.348,37.641
405,1539.328,37.643
406,1539.312,37.647
407,1539.3,37.65
408,1539.276,37.654
409,1539.26,37.66
410,1539.244,37.661
411,1539.224,37.667
412,1539.208,37.671
413,1539.192,37.674
414,1539.176,37.677
415,1539.16,37.68
416,1539.14,37.686
417,1539.124,37.687
418,1539.112,37.69
419,1539.092,37.696
420,1539.08,37.698
421,1539.064,37.697
422,1539.044,37.702
423,1539.032,37.705
424,1539.02,37.709
425,1539.0,37.711
426,1538.984,37.716
427,1538.972,37.718
428,1538.952,37.724
429,1538.94,37.728
430,1538.924,37.732
431,1538.908,37.733
432,1538.896,37.736
433,1538.88,37.742
434,1538.864,37.745
435,1538.852,37.749
436,1538.836,37.751
437,1538.824,37.754
438,1538.812,37.755
439,1538.792,37.76
440,1538.78,37.762
441,1538.768,37.765
442,1538.752,37.77
443,1538.74,37.771
444,1538.728,37.772
445,1538.712,37.776
446,1538.7,37.778
447,1538.688,37.781
448,1538.672,37.787
449,1538.66,37.789
450,1538.652,37.79
451,1538.636,37.794
452,1538.624,37.799
453,1538.608,37.799
454,1538.596,37.8
455,1538.584,37.806
456,1538.568,37.812
457,1538.56,37.811
458,1538.548,37.814
459,1538.532,37.819
460,1538.52,37.816
461,1538.508,37.822
462,1538.496,37.825
463,1538.484,37.824
464,1538.472,37.827
465,1538.46,37.83
466,1538.448,37.838
467,1538.436,37.837
468,1538.424,37.84
469,1538.408,37.845
470,1538.4,37.842
471,1538.384,37.845
472,1538.376,37.849
473,1538.36,37.853
474,1538.352,37.856
475,1538.34,37.853
476,1538.324,37.856
477,1538.316,37.858
478,1538.304,37.862
479,1538.292,37.86
480,1538.284,37.865
481,1538.268,37.868
482,1538.26,37.874
483,1538.248,37.875
484,1538.24,37.874
485,1538.228,37.875
486,1538.22,37.879
487,1538.208,37.879
488,1538.196,37.883
489,1538.188,37.886
490,1538.172,37.891
491,1538.168,37.889
492,1538.16,37.891
493,1538.148,37.893
494,1538.136,37.893
495,1538.124,37.9
496,1538.116,37.899
497,1538.108,37.899
498,1538.096,37.903
499,1538.088,37.904
500,1538.076,37.905
501,1538.068,37.91
502,1538.056,37.912
503,1538.048,37.912
504,1538.04,37.914
505,1538.028,37.914
506,1538.02,37.916
507,1538.012,37.92
508,1538.004,37.918
509,1537.992,37.919
510,1537.988,37.922
511,1537.976,37.926
512,1537.964,37.927
513,1537.952,37.928
514,1537.948,37.926
515,1537.94,37.934
516,1537.928,37.935
517,1537.916,37.939
518,1537.912,37.937
519,1537.904,37.942
520,1537.896,37.941
521,1537.888,37.943
522,1537.88,37.945
523,1537.872,37.945
524,1537.864,37.943
525,1537.852,37.946
526,1537.844,37.95
527,1537.832,37.952
528,1537.828,37.954
529,1537.816,37.957
530,1537.812,37.957
531,1537.808,37.956
532,1537.796,37.958
533,1537.788,37.957
534,1537.776,37.963
535,1537.772,37.961
536,1537.768,37.964
537,1537.756,37.963
538,1537.748,37.966
539,1537.748,37.965
540,1537.732,37.969
541,1537.728,37.969
542,1537.72,37.97
543,1537.712,37.973
544,1537.704,37.976
545,1537.7,37.977
546,1537.688,37.975
547,1537.684,37.98
548,1537.672,37.98
549,1537.668,37.978
550,1537.664,37.977
551,1537.652,37.982
552,1537.648,37.983
553,1537.644,37.982
554,1537.632,37.985
555,1537.624,37.988
556,1537.62,37.99
557,1537.612,37.99
558,1537.604,37.994
559,1537.6,37.992
560,1537.592,37.992
561,1537.584,37.993
562,1537.576,37.995
563,1537.572,37.995
564,1537.564,37.994
565,1537.552,37.997
566,1537.552,37.995
567,1537.544,37.998
568,1537.536,37.999
569,1537.532,38.0
570,1537.524,38.002
571,1537.52,38.005
572,1537.512,38.005
573,1537.504,38.005
574,1537.496,38.003
575,1537.492,38.008
576,1537.484,38.012
577,1537.48,38.01
578,1537.476,38.01
579,1537.468,38.013
580,1537.464,38.008
581,1537.46,38.014
582,1537.448,38.011
583,1537.444,38.014
584,1537.444,38.016
585,1537.432,38.013
586,1537.428,38.016
587,1537.424,38.012
588,1537.416,38.014
589,1537.412,38.018
590,1537.408,38.017
591,1537.4,38.019
592,1537.404,38.019
593,1537.388,38.02
594,1537.392,38.018
595,1537.388,38.015
596,1537.376,38.02
597,1537.372,38.024
598,1537.372,38.02
599,1537.364,38.024
600,1537.356,38.016
601,1537.352,38.021
602,1537.348,38.018
603,1537.34,38.025
604,1537.336,38.022
605,1537.332,38.019
606,1537.328,38.023
607,1537.32,38.022
608,1537.316,38.023
609,1537.316,38.024
610,1537.308,38.021
611,1537.304,38.023
612,1537.296,38.024
613,1537.292,38.027
614,1537.292,38.022
615,1537.284,38.022
616,1537.284,38.028
617,1537.272,38.023
618,1537.268,38.027
619,1537.264,38.03
620,1537.26,38.025
621,1537.252,38.028
622,1537.248,38.029
623,1537.244,38.031
624,1537.236,38.031
625,1537.236,38.032
626,1537.228,38.031
627,1537.228,38.033
628,1537.22,38.031
629,1537.216,38.034
630,1537.212,38.037
631,1537.228,38.032
632,1537.228,38.024
633,1537.216,38.024
634,1537.216,38.031
635,1537.204,38.032
636,1537.2,38.031
637,1537.196,38.037
638,1537.192,38.034
639,1537.188,38.034
640,1537.184,38.034
641,1537.184,38.033
642,1537.176,38.035
643,1537.172,38.034
644,1537.164,38.046
645,1537.164,38.036
646,1537.16,38.037
647,1537.148,38.038
648,1537.152,38.044
649,1537.14,38.038
650,1537.14,38.035
651,1537.132,38.048
652,1537.136,38.049
653,1537.132,38.038
654,1537.124,38.044
655,1537.124,38.038
656,1537.112,38.039
657,1537.112,38.038
658,1537.108,38.047
659,1537.104,38.039
660,1537.092,38.046
661,1537.092,38.04
662,1537.092,38.038
663,1537.084,38.047
664,1537.084,38.049
665,1537.08,38.046
666,1537.076,38.046
667,1537.068,38.05
668,1537.068,38.047
669,1537.06,38.043
