,time,ctwl/nm
0,2022-07-11 18:31:22,1535.912
1,2022-07-11 18:32:50,1536.104
2,2022-07-11 18:34:19,1537.412
3,2022-07-11 18:35:48,1538.46
4,2022-07-11 18:37:16,1539.748
5,2022-07-11 18:38:45,1541.3
6,2022-07-11 18:40:14,1543.156
7,2022-07-11 18:41:43,1544.964
8,2022-07-11 18:43:11,1546.076
9,2022-07-11 18:44:40,1546.484
10,2022-07-11 18:46:09,1546.664
11,2022-07-11 18:47:37,1546.736
12,2022-07-11 18:49:06,1546.768
13,2022-07-11 18:50:35,1546.788
14,2022-07-11 18:52:04,1546.8
15,2022-07-11 18:53:32,1546.808
16,2022-07-11 18:55:01,1546.812
17,2022-07-11 18:56:30,1546.82
18,2022-07-11 18:57:58,1546.832
19,2022-07-11 18:59:27,1546.844
20,2022-07-11 19:00:56,1546.856
21,2022-07-11 19:02:25,1546.864
22,2022-07-11 19:03:53,1546.88
23,2022-07-11 19:05:22,1546.888
24,2022-07-11 19:06:51,1546.9
25,2022-07-11 19:08:20,1546.908
26,2022-07-11 19:09:48,1546.884
27,2022-07-11 19:11:17,1546.896
28,2022-07-11 19:12:46,1546.908
29,2022-07-11 19:14:15,1546.924
30,2022-07-11 19:15:43,1546.936
31,2022-07-11 19:17:12,1546.948
32,2022-07-11 19:18:41,1546.96
33,2022-07-11 19:20:10,1546.976
34,2022-07-11 19:21:38,1546.988
35,2022-07-11 19:23:07,1547.0
36,2022-07-11 19:24:36,1547.012
37,2022-07-11 19:26:05,1547.024
38,2022-07-11 19:27:33,1547.04
39,2022-07-11 19:29:02,1547.056
40,2022-07-11 19:30:31,1547.064
41,2022-07-11 19:32:00,1547.064
42,2022-07-11 19:33:28,1547.08
43,2022-07-11 19:34:57,1547.088
44,2022-07-11 19:36:26,1547.112
45,2022-07-11 19:37:55,1547.124
46,2022-07-11 19:39:23,1547.14
47,2022-07-11 19:40:52,1547.156
48,2022-07-11 19:42:21,1547.164
49,2022-07-11 19:43:50,1547.18
50,2022-07-11 19:45:19,1547.192
51,2022-07-11 19:46:47,1547.204
52,2022-07-11 19:48:16,1547.196
53,2022-07-11 19:49:45,1547.2
54,2022-07-11 19:51:13,1547.048
55,2022-07-11 19:52:42,1546.62
56,2022-07-11 19:54:11,1546.304
57,2022-07-11 19:55:40,1547.028
58,2022-07-11 19:57:09,1547.26
59,2022-07-11 19:58:37,1547.292
60,2022-07-11 20:00:06,1547.284
61,2022-07-11 20:01:35,1547.692
62,2022-07-11 20:03:04,1547.32
63,2022-07-11 20:04:32,1547.32
64,2022-07-11 20:06:01,1547.324
65,2022-07-11 20:07:30,1547.332
66,2022-07-11 20:08:59,1547.34
67,2022-07-11 20:10:28,1547.352
68,2022-07-11 20:11:56,1547.364
69,2022-07-11 20:13:25,1547.364
70,2022-07-11 20:14:54,1547.376
71,2022-07-11 20:16:23,1547.392
72,2022-07-11 20:17:52,1547.4
73,2022-07-11 20:19:20,1547.404
74,2022-07-11 20:20:49,1547.412
75,2022-07-11 20:22:18,1547.42
76,2022-07-11 20:23:47,1547.424
77,2022-07-11 20:25:16,1547.424
78,2022-07-11 20:26:44,1547.436
79,2022-07-11 20:28:13,1547.448
80,2022-07-11 20:29:42,1547.444
81,2022-07-11 20:31:11,1547.456
82,2022-07-11 20:32:39,1547.464
83,2022-07-11 20:34:08,1547.464
84,2022-07-11 20:35:37,1547.48
85,2022-07-11 20:37:06,1547.484
86,2022-07-11 20:38:35,1547.496
87,2022-07-11 20:40:04,1547.504
88,2022-07-11 20:41:32,1547.504
89,2022-07-11 20:43:01,1547.516
90,2022-07-11 20:44:30,1547.52
91,2022-07-11 20:45:59,1547.528
92,2022-07-11 20:47:28,1547.532
93,2022-07-11 20:48:56,1547.504
94,2022-07-11 20:50:25,1547.516
95,2022-07-11 20:51:54,1547.528
96,2022-07-11 20:53:23,1547.54
97,2022-07-11 20:54:52,1547.552
98,2022-07-11 20:56:20,1547.56
99,2022-07-11 20:57:49,1547.552
100,2022-07-11 20:59:18,1547.568
101,2022-07-11 21:00:47,1547.572
102,2022-07-11 21:02:16,1547.576
103,2022-07-11 21:03:44,1547.58
104,2022-07-11 21:05:13,1547.588
105,2022-07-11 21:06:42,1547.588
106,2022-07-11 21:08:11,1547.592
107,2022-07-11 21:09:40,1547.6
108,2022-07-11 21:11:09,1547.604
109,2022-07-11 21:12:37,1547.596
110,2022-07-11 21:14:06,1547.568
111,2022-07-11 21:15:35,1547.596
112,2022-07-11 21:17:04,1547.584
113,2022-07-11 21:18:33,1547.528
114,2022-07-11 21:20:02,1547.732
115,2022-07-11 21:21:30,1547.88
116,2022-07-11 21:22:59,1547.772
117,2022-07-11 21:24:28,1547.728
118,2022-07-11 21:25:57,1547.716
119,2022-07-11 21:27:26,1547.712
120,2022-07-11 21:28:55,1547.716
121,2022-07-11 21:30:23,1547.716
122,2022-07-11 21:31:52,1547.72
123,2022-07-11 21:33:21,1547.724
124,2022-07-11 21:34:50,1547.732
125,2022-07-11 21:36:19,1547.724
126,2022-07-11 21:37:48,1547.728
127,2022-07-11 21:39:17,1547.732
128,2022-07-11 21:40:45,1547.728
129,2022-07-11 21:42:14,1547.74
130,2022-07-11 21:43:43,1547.74
131,2022-07-11 21:45:12,1547.74
132,2022-07-11 21:46:41,1547.74
133,2022-07-11 21:48:10,1547.744
134,2022-07-11 21:49:39,1547.744
135,2022-07-11 21:51:07,1547.748
136,2022-07-11 21:52:36,1547.752
137,2022-07-11 21:54:05,1547.756
138,2022-07-11 21:55:34,1547.76
139,2022-07-11 21:57:03,1547.764
140,2022-07-11 21:58:32,1547.76
141,2022-07-11 22:00:01,1547.764
142,2022-07-11 22:01:29,1547.768
143,2022-07-11 22:02:58,1547.768
144,2022-07-11 22:04:27,1547.772
145,2022-07-11 22:05:56,1547.776
146,2022-07-11 22:07:25,1547.772
147,2022-07-11 22:08:54,1547.776
148,2022-07-11 22:10:23,1547.78
149,2022-07-11 22:11:52,1547.78
150,2022-07-11 22:13:20,1547.784
151,2022-07-11 22:14:49,1547.792
152,2022-07-11 22:16:18,1547.788
153,2022-07-11 22:17:47,1547.792
154,2022-07-11 22:19:16,1547.792
155,2022-07-11 22:20:45,1547.792
156,2022-07-11 22:22:14,1547.796
157,2022-07-11 22:23:43,1547.804
158,2022-07-11 22:25:11,1547.8
159,2022-07-11 22:26:40,1547.804
160,2022-07-11 22:28:09,1547.808
161,2022-07-11 22:29:38,1547.804
162,2022-07-11 22:31:07,1547.808
163,2022-07-11 22:32:36,1547.812
164,2022-07-11 22:34:05,1547.812
165,2022-07-11 22:35:34,1547.816
166,2022-07-11 22:37:03,1547.82
167,2022-07-11 22:38:31,1547.82
168,2022-07-11 22:40:00,1547.82
169,2022-07-11 22:41:29,1547.824
170,2022-07-11 22:42:58,1547.824
171,2022-07-11 22:44:27,1547.828
172,2022-07-11 22:45:56,1547.832
