,time,ctwl/nm,notch/dB,reflection/%,t-depth/dB,n_ac
71,2022-07-11 20:16:18,1547.3395,,2.75,0.1210,1.357880E-7
72,2022-07-11 20:17:46,1547.355,,3.28,0.1450,1.357894E-7
73,2022-07-11 20:19:15,1547.3703,,3.86,0.1710,1.357907E-7
74,2022-07-11 20:20:44,1547.3791,,4.02,0.1780,1.357915E-7
75,2022-07-11 20:22:13,1547.3854,,4.64,0.2065,1.357920E-7
76,2022-07-11 20:23:41,1547.3914,,3.26,0.1440,1.357926E-7
77,2022-07-11 20:25:10,1547.3945,,3.24,0.1430,1.357928E-7
78,2022-07-11 20:26:39,1547.4065,,6.88,0.3095,1.357939E-7
79,2022-07-11 20:28:07,1547.4144,,7.38,0.3330,1.357946E-7
80,2022-07-11 20:29:36,1547.4186,,6.79,0.3055,1.357949E-7
81,2022-07-11 20:31:05,1547.4234,,8.69,0.3950,1.357954E-7
82,2022-07-11 20:32:34,1547.4434,,6.70,0.3010,1.357971E-7
83,2022-07-11 20:34:02,1547.4414,,9.51,0.4340,1.357969E-7
84,2022-07-11 20:35:31,1547.4659,,6.99,0.3145,1.357991E-7
85,2022-07-11 20:37:00,1547.4802,,5.75,0.2570,1.358004E-7
86,2022-07-11 20:38:28,1547.4894,,7.39,0.3335,1.358012E-7
87,2022-07-11 20:39:57,1547.4951,,12.27,0.5685,1.358017E-7
88,2022-07-11 20:41:26,1547.5003,,12.93,0.6015,1.358021E-7
89,2022-07-11 20:42:55,1547.5075,,13.17,0.6135,1.358028E-7
90,2022-07-11 20:44:23,1547.5138,,14.19,0.6645,1.358033E-7
91,2022-07-11 20:45:52,1547.5184,,14.36,0.6730,1.358037E-7
92,2022-07-11 20:47:21,1547.5212,,11.65,0.5380,1.358040E-7
93,2022-07-11 20:48:49,1547.501,,15.90,0.7520,1.358022E-7
94,2022-07-11 20:50:18,1547.5084,,15.15,0.7135,1.358028E-7
95,2022-07-11 20:51:47,1547.5178,,17.03,0.8110,1.358037E-7
96,2022-07-11 20:53:16,1547.5279,,17.65,0.8435,1.358045E-7
97,2022-07-11 20:54:44,1547.5369,,11.93,0.5515,1.358053E-7
98,2022-07-11 20:56:13,1547.543,,14.67,0.6890,1.358059E-7
99,2022-07-11 20:57:42,1547.5384,,19.17,0.9245,1.358055E-7
100,2022-07-11 20:59:10,1547.5458,,19.61,0.9480,1.358061E-7
101,2022-07-11 21:00:39,1547.5519,,19.91,0.9640,1.358066E-7
102,2022-07-11 21:02:08,1547.5566,,20.50,0.9965,1.358071E-7
103,2022-07-11 21:03:37,1547.5633,,20.56,0.9995,1.358076E-7
104,2022-07-11 21:05:06,1547.5658,,21.47,1.0495,1.358079E-7
105,2022-07-11 21:06:34,1547.5827,,21.81,1.0685,1.358093E-7
106,2022-07-11 21:08:03,1547.5832,,22.30,1.0960,1.358094E-7
107,2022-07-11 21:09:32,1547.5927,,22.93,1.1310,1.358102E-7
108,2022-07-11 21:11:00,1547.5974,,12.78,0.5940,1.358106E-7
109,2022-07-11 21:12:29,1547.5645,,23.63,1.1710,1.358078E-7
110,2022-07-11 21:13:58,1547.566,,23.95,1.1890,1.358079E-7
111,2022-07-11 21:15:27,1547.5572,,24.40,1.2150,1.358071E-7
112,2022-07-11 21:16:55,1547.5602,,24.72,1.2330,1.358074E-7
113,2022-07-11 21:18:24,1547.5017,,25.20,1.2610,1.358022E-7
114,2022-07-11 21:19:53,1547.7138,,25.74,1.2925,1.358209E-7
115,2022-07-11 21:21:22,1547.7531,,26.10,1.3135,1.358243E-7
116,2022-07-11 21:22:50,1547.7756,,26.46,1.3350,1.358263E-7
117,2022-07-11 21:24:19,1547.7333,,16.71,0.7940,1.358226E-7
118,2022-07-11 21:25:48,1547.6963,,27.15,1.3760,1.358193E-7
119,2022-07-11 21:27:17,1547.7081,,27.56,1.4000,1.358204E-7
120,2022-07-11 21:28:45,1547.695,,27.79,1.4140,1.358192E-7
121,2022-07-11 21:30:14,1547.6963,,28.09,1.4320,1.358193E-7
122,2022-07-11 21:31:43,1547.7141,,16.28,0.7715,1.358209E-7
123,2022-07-11 21:33:12,1547.7138,,28.54,1.4595,1.358209E-7
124,2022-07-11 21:34:40,1547.724,,21.27,1.0385,1.358217E-7
125,2022-07-11 21:36:09,1547.7287,,22.99,1.1345,1.358222E-7
126,2022-07-11 21:37:38,1547.7274,,29.29,1.5050,1.358220E-7
127,2022-07-11 21:39:07,1547.7276,,25.07,1.2535,1.358221E-7
128,2022-07-11 21:40:35,1547.7352,,20.30,0.9855,1.358227E-7
129,2022-07-11 21:42:04,1547.7354,,30.00,1.5490,1.358227E-7
130,2022-07-11 21:43:33,1547.7349,,30.18,1.5600,1.358227E-7
131,2022-07-11 21:45:02,1547.7495,,30.43,1.5755,1.358240E-7
132,2022-07-11 21:46:31,1547.7496,,30.51,1.5810,1.358240E-7
133,2022-07-11 21:47:59,1547.7504,,30.76,1.5965,1.358241E-7
134,2022-07-11 21:49:28,1547.7522,,29.33,1.5075,1.358242E-7
135,2022-07-11 21:50:57,1547.7531,,31.06,1.6155,1.358243E-7
136,2022-07-11 21:52:25,1547.7521,,24.73,1.2335,1.358242E-7
137,2022-07-11 21:53:54,1547.7584,,17.22,0.8205,1.358248E-7
138,2022-07-11 21:55:23,1547.7587,,31.61,1.6500,1.358248E-7
139,2022-07-11 21:56:52,1547.7614,,31.77,1.6605,1.358250E-7
140,2022-07-11 21:58:21,1547.7661,,31.81,1.6630,1.358254E-7
141,2022-07-11 21:59:49,1547.7664,,31.99,1.6745,1.358255E-7
142,2022-07-11 22:01:18,1547.7664,,28.93,1.4830,1.358255E-7
143,2022-07-11 22:02:47,1547.7716,,32.29,1.6935,1.358259E-7
144,2022-07-11 22:04:16,1547.7716,,30.85,1.6020,1.358259E-7
145,2022-07-11 22:05:45,1547.775,,32.68,1.7185,1.358262E-7
146,2022-07-11 22:07:13,1547.7768,,32.72,1.7210,1.358264E-7
147,2022-07-11 22:08:42,1547.7775,,32.76,1.7235,1.358264E-7
148,2022-07-11 22:10:11,1547.7772,,32.95,1.7360,1.358264E-7
149,2022-07-11 22:11:40,1547.7813,,32.27,1.6925,1.358268E-7
150,2022-07-11 22:13:08,1547.7832,,33.16,1.7495,1.358269E-7
151,2022-07-11 22:14:37,1547.7822,,32.59,1.7130,1.358269E-7
