,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
66,2022/7/11 20:08,1541.426,0.0205,0.4709,4.30E-05,0.004960343
67,2022/7/11 20:10,1541.0399,0.042,0.9624,0.000118721,-0.000455992
68,2022/7/11 20:11,1546.8387,0.0045,0.1036,1.71E-05,0.006822829
69,2022/7/11 20:13,1547.3478,0.0125,0.2874,3.07E-05,0.000598807
70,2022/7/11 20:14,1547.3704,0.029,0.6655,5.87E-05,2.66E-05
71,2022/7/11 20:16,1547.3838,0.1185,2.6917,0.000135792,1.58E-05
72,2022/7/11 20:17,1547.3906,0.1485,3.3615,0.000135792,8.00E-06
73,2022/7/11 20:19,1547.3961,0.191,4.3026,0.000135793,6.47E-06
74,2022/7/11 20:20,1547.404,0.1945,4.3797,0.000135794,9.29E-06
75,2022/7/11 20:22,1547.4134,0.2385,5.3436,0.000135794,1.11E-05
76,2022/7/11 20:23,1547.4158,0.262,5.8544,0.000135795,2.82E-06
77,2022/7/11 20:25,1547.4178,0.2825,6.2978,0.000135795,2.35E-06
78,2022/7/11 20:26,1547.423,0.2975,6.6208,0.000135795,6.12E-06
79,2022/7/11 20:28,1547.4356,0.351,7.7641,0.000135796,1.48E-05
80,2022/7/11 20:29,1547.4351,0.3805,8.3885,0.000135796,-5.88E-07
81,2022/7/11 20:31,1547.449,0.4085,8.9772,0.000135798,1.63E-05
82,2022/7/11 20:32,1547.4566,0.41,9.0087,0.000135798,8.94E-06
83,2022/7/11 20:34,1547.457,0.206,4.6326,0.000135798,4.70E-07
84,2022/7/11 20:35,1547.4764,0.482,10.5047,0.0001358,2.28E-05
85,2022/7/11 20:37,1547.485,0.522,11.3252,0.000135801,1.01E-05
86,2022/7/11 20:38,1547.4948,0.539,11.6717,0.000135802,1.15E-05
87,2022/7/11 20:39,1547.5011,0.5775,12.4512,0.000135802,7.41E-06
88,2022/7/11 20:41,1547.5058,0.5995,12.8936,0.000135803,5.53E-06
89,2022/7/11 20:42,1547.5131,0.63,13.5032,0.000135803,8.59E-06
90,2022/7/11 20:44,1547.5174,0.657,14.0393,0.000135804,5.06E-06
91,2022/7/11 20:45,1547.5194,0.695,14.7881,0.000135804,2.35E-06
92,2022/7/11 20:47,1547.5242,0.7195,15.2675,0.000135804,5.65E-06
93,2022/7/11 20:48,1547.5043,0.7685,16.2181,0.000135802,-2.34E-05
94,2022/7/11 20:50,1547.5256,0.7745,16.3338,0.000135804,2.51E-05
95,2022/7/11 20:51,1547.5212,0.836,17.5102,0.000135804,-5.17E-06
96,2022/7/11 20:53,1547.5299,0.8455,17.6905,0.000135805,1.02E-05
97,2022/7/11 20:54,1547.5399,0.485,10.5665,0.000135806,1.18E-05
98,2022/7/11 20:56,1547.5505,0.889,18.5108,0.000135807,1.25E-05
99,2022/7/11 20:57,1547.5471,0.9345,19.3601,0.000135806,-4.00E-06
100,2022/7/11 20:59,1547.5551,0.9355,19.3787,0.000135807,9.41E-06
101,2022/7/11 21:00,1547.5626,0.9825,20.2465,0.000135808,8.82E-06
102,2022/7/11 21:02,1547.5713,1.021,20.9503,0.000135808,1.02E-05
103,2022/7/11 21:03,1547.5798,1.017,20.8775,0.000135809,1.00E-05
104,2022/7/11 21:05,1547.585,1.067,21.7832,0.00013581,6.12E-06
105,2022/7/11 21:06,1547.5896,1.075,21.9272,0.00013581,5.41E-06
106,2022/7/11 21:08,1547.5907,1.104,22.4468,0.00013581,1.29E-06
107,2022/7/11 21:09,1547.5971,0.69,14.69,0.000135811,7.53E-06
108,2022/7/11 21:11,1547.602,1.169,23.5988,0.000135811,5.76E-06
109,2022/7/11 21:12,1547.5678,1.089,22.1784,0.000135808,-4.02E-05
110,2022/7/11 21:13,1547.5825,1.203,24.1946,0.000135809,1.73E-05
111,2022/7/11 21:15,1547.5774,0.6905,14.6998,0.000135809,-6.00E-06
112,2022/7/11 21:16,1547.5797,1.2415,24.8637,0.000135809,2.70E-06
113,2022/7/11 21:18,1547.5007,1.263,25.2347,0.000135802,-9.29E-05
114,2022/7/11 21:19,1547.7146,1.211,24.3341,0.000135821,0.000251531
115,2022/7/11 21:21,1547.7403,1.315,26.1246,0.000135823,3.02E-05
116,2022/7/11 21:22,1547.7734,1.3415,26.574,0.000135826,3.89E-05
117,2022/7/11 21:24,1547.7241,1.3605,26.8945,0.000135822,-5.80E-05
118,2022/7/11 21:25,1547.7161,1.3125,26.082,0.000135821,-9.41E-06
119,2022/7/11 21:27,1547.7313,0.9875,20.3382,0.000135822,1.79E-05
120,2022/7/11 21:28,1547.7135,1.393,27.4395,0.000135821,-2.09E-05
121,2022/7/11 21:30,1547.7257,0.9735,20.081,0.000135822,1.43E-05
122,2022/7/11 21:31,1547.7123,1.443,28.2701,0.000135821,-1.58E-05
123,2022/7/11 21:33,1547.718,1.4415,28.2454,0.000135821,6.70E-06
124,2022/7/11 21:34,1547.7188,1.482,28.9114,0.000135821,9.41E-07
125,2022/7/11 21:36,1547.7212,1.494,29.1075,0.000135822,2.82E-06
126,2022/7/11 21:37,1547.7194,1.4985,29.181,0.000135821,-2.12E-06
127,2022/7/11 21:39,1547.7197,1.528,29.6604,0.000135821,3.53E-07
128,2022/7/11 21:40,1547.7266,1.427,28.0054,0.000135822,8.11E-06
129,2022/7/11 21:42,1547.7249,1.542,29.8868,0.000135822,-2.00E-06
130,2022/7/11 21:43,1547.7249,1.5605,30.1848,0.000135822,0
131,2022/7/11 21:45,1547.7293,1.518,29.4982,0.000135822,5.17E-06
132,2022/7/11 21:46,1547.7306,1.5475,29.9755,0.000135822,1.53E-06
133,2022/7/11 21:47,1547.7333,1.596,30.7532,0.000135823,3.17E-06
134,2022/7/11 21:49,1547.7357,0.8285,17.3677,0.000135823,2.82E-06
135,2022/7/11 21:50,1547.7379,1.6305,31.3011,0.000135823,2.59E-06
136,2022/7/11 21:52,1547.732,1.631,31.309,0.000135822,-6.94E-06
137,2022/7/11 21:53,1547.7456,1.658,31.7347,0.000135824,1.60E-05
138,2022/7/11 21:55,1547.7458,1.638,31.4196,0.000135824,2.35E-07
139,2022/7/11 21:56,1547.7481,1.649,31.5931,0.000135824,2.70E-06
140,2022/7/11 21:58,1547.7519,1.6685,31.8995,0.000135824,4.47E-06
141,2022/7/11 21:59,1547.7553,1.692,32.267,0.000135824,4.00E-06
142,2022/7/11 22:01,1547.7539,1.6995,32.3839,0.000135824,-1.65E-06
143,2022/7/11 22:02,1547.7633,1.682,32.1109,0.000135825,1.11E-05
144,2022/7/11 22:04,1547.7609,1.7265,32.803,0.000135825,-2.82E-06
145,2022/7/11 22:05,1547.7689,1.421,27.9059,0.000135826,9.41E-06
146,2022/7/11 22:07,1547.7731,1.733,32.9035,0.000135826,4.94E-06
147,2022/7/11 22:08,1547.7764,1.7355,32.9421,0.000135826,3.88E-06
148,2022/7/11 22:10,1547.7722,1.735,32.9344,0.000135826,-4.94E-06
149,2022/7/11 22:11,1547.7804,1.7715,33.4957,0.000135827,9.64E-06
150,2022/7/11 22:13,1547.7843,1.716,32.6403,0.000135827,4.59E-06
151,2022/7/11 22:14,1547.7832,1.5735,30.3935,0.000135827,-1.29E-06
152,2022/7/11 22:16,1547.7891,1.775,33.5492,0.000135827,6.94E-06
153,2022/7/11 22:17,1547.7924,1.7805,33.6333,0.000135828,3.88E-06
154,2022/7/11 22:19,1547.7913,1.765,33.396,0.000135828,-1.29E-06
155,2022/7/11 22:20,1547.7943,1.7555,33.2502,0.000135828,3.53E-06
156,2022/7/11 22:22,1547.7973,1.774,33.5339,0.000135828,3.53E-06
157,2022/7/11 22:23,1547.798,1.764,33.3807,0.000135828,8.23E-07
158,2022/7/11 22:24,1547.8006,1.7915,33.8012,0.000135828,3.06E-06
159,2022/7/11 22:26,1547.8043,1.797,33.885,0.000135829,4.35E-06
160,2022/7/11 22:27,1547.8041,1.7955,33.8622,0.000135829,-2.35E-07
161,2022/7/11 22:29,1547.807,0.8805,18.3512,0.000135829,3.41E-06
162,2022/7/11 22:30,1547.8112,1.803,33.9763,0.000135829,4.94E-06
163,2022/7/11 22:32,1547.8088,1.516,29.4658,0.000135829,-2.82E-06
164,2022/7/11 22:33,1547.813,1.821,34.2494,0.00013583,4.94E-06
165,2022/7/11 22:35,1547.8192,1.777,33.5798,0.00013583,7.29E-06
166,2022/7/11 22:36,1547.8154,1.807,34.0371,0.00013583,-4.47E-06
167,2022/7/11 22:38,1547.8221,1.829,34.3704,0.00013583,7.88E-06
168,2022/7/11 22:39,1547.824,1.823,34.2796,0.000135831,2.23E-06
169,2022/7/11 22:41,1547.8192,1.037,21.241,0.00013583,-5.64E-06
170,2022/7/11 22:42,1547.8288,1.849,34.6719,0.000135831,1.13E-05
171,2022/7/11 22:44,1547.8163,1.8335,34.4383,0.00013583,-1.47E-05
172,2022/7/11 22:45,1547.8167,1.8525,34.7245,0.00013583,4.70E-07
173,2022/7/11 22:47,1547.8207,1.834,34.4459,0.00013583,4.70E-06
174,2022/7/11 22:48,1547.8239,1.8265,34.3326,0.000135831,3.76E-06
175,2022/7/11 22:50,1547.8221,1.851,34.702,0.00013583,-2.12E-06
176,2022/7/11 22:51,1547.8235,1.2195,24.4821,0.00013583,1.65E-06
177,2022/7/11 22:53,1547.8273,1.7165,32.6481,0.000135831,4.47E-06
