,350,450,550,650,750,850
133,1543.1703,1544.6062,1546.087,1547.6059,1549.1717,1550.7825
134,1543.1687,1544.607,1546.087,1547.6067,1549.1725,1550.7825
135,1543.1703,1544.6078,1546.087,1547.6075,1549.1709,1550.7841
136,1543.1703,1544.6046,1546.0854,1547.6075,1549.1733,1550.7833
137,1543.1711,1544.6054,1546.0878,1547.6059,1549.1717,1550.7833
138,1543.1734,1544.6062,1546.087,1547.6067,1549.1709,1550.7825
139,1543.1718,1544.6086,1546.0878,1547.6067,1549.1717,1550.7833
140,1543.1726,1544.603,1546.087,1547.6067,1549.1709,1550.7833
141,1543.1734,1544.607,1546.087,1547.6075,1549.1701,1550.7825
142,1543.1726,1544.6078,1546.0862,1547.6067,1549.1701,1550.7833
143,1543.1766,1544.6054,1546.0862,1547.6067,1549.1717,1550.7833
144,1543.1726,1544.6054,1546.0878,1547.6067,1549.1717,1550.7825
145,1543.1734,1544.6078,1546.0878,1547.6059,1549.1717,1550.7817
146,1543.1734,1544.6078,1546.087,1547.6051,1549.1725,1550.7825
147,1543.175,1544.607,1546.0878,1547.6059,1549.1717,1550.7825
148,1543.1742,1544.6062,1546.087,1547.6051,1549.1725,1550.7817
149,1543.1734,1544.607,1546.0878,1547.6059,1549.1733,1550.7833
150,1543.1734,1544.6094,1546.0854,1547.6051,1549.1725,1550.7825
151,1543.1695,1544.6086,1546.0854,1547.6051,1549.1725,1550.7825
152,1543.1742,1544.6054,1546.0846,1547.6067,1549.1725,1550.7817
153,1543.1758,1544.6078,1546.087,1547.6067,1549.1725,1550.7825
154,1543.1742,1544.6102,1546.0862,1547.6067,1549.1725,1550.7825
155,1543.1718,1544.603,1546.0854,1547.6059,1549.1725,1550.7841
156,1543.1734,1544.607,1546.0862,1547.6059,1549.1733,1550.7817
157,1543.1734,1544.6078,1546.0862,1547.6067,1549.1709,1550.7825
158,1543.1718,1544.6086,1546.087,1547.6067,1549.1733,1550.7833
159,1543.1734,1544.6078,1546.0862,1547.6067,1549.1725,1550.7833
160,1543.1726,1544.6078,1546.0878,1547.6067,1549.1725,1550.7825
161,1543.1742,1544.6054,1546.087,1547.6067,1549.1725,1550.7825
162,1543.1734,1544.6086,1546.0862,1547.6075,1549.1717,1550.7833
163,1543.1718,1544.6078,1546.0846,1547.6059,1549.1725,1550.7841
164,1543.1726,1544.6109,1546.0854,1547.6059,1549.1717,1550.7841
165,1543.1742,1544.6102,1546.0862,1547.6059,1549.1717,1550.7833
166,1543.1726,1544.6094,1546.0862,1547.6059,1549.1725,1550.7833
167,1543.175,1544.6109,1546.0862,1547.6059,1549.1717,1550.7825
168,1543.1718,1544.6109,1546.0886,1547.6051,1549.1717,1550.7833
169,1543.1726,1544.6102,1546.087,1547.6059,1549.1717,1550.7825
170,1543.1734,1544.6102,1546.0878,1547.6051,1549.1717,1550.7833
171,1543.175,1544.6109,1546.087,1547.6059,1549.1717,1550.7825
172,1543.1695,1544.6102,1546.0854,1547.6059,1549.1717,1550.7833
173,1543.1758,1544.6109,1546.0862,1547.6067,1549.1709,1550.7833
174,1543.1718,1544.6117,1546.0862,1547.6067,1549.1709,1550.7817
175,1543.1671,1544.6109,1546.087,1547.6059,1549.1709,1550.7825
176,1543.175,1544.6141,1546.0862,1547.6067,1549.1717,1550.7809
177,1543.1695,1544.6109,1546.0878,1547.6067,1549.1701,1550.7833
178,1543.1718,1544.6133,1546.087,1547.6059,1549.1709,1550.7825
179,1543.175,1544.6117,1546.0862,1547.6059,1549.1717,1550.7825
180,1543.175,1544.6109,1546.087,1547.6051,1549.1701,1550.7833
181,1543.1742,1544.6133,1546.0854,1547.6059,1549.1701,1550.7817
182,1543.175,1544.6117,1546.087,1547.6075,1549.1717,1550.7833
183,1543.175,1544.6117,1546.0862,1547.6067,1549.1709,1550.7833
184,1543.1726,1544.6125,1546.0862,1547.6067,1549.1709,1550.7833
185,1543.1758,1544.6117,1546.0846,1547.6075,1549.1717,1550.7841
186,1543.1742,1544.6141,1546.0854,1547.6067,1549.1709,1550.7833
187,1543.1742,1544.6109,1546.087,1547.6067,1549.1717,1550.7833
188,1543.1774,1544.6141,1546.0846,1547.6067,1549.1717,1550.7833
189,1543.1726,1544.6117,1546.0846,1547.6075,1549.1717,1550.7825
190,1543.175,1544.6141,1546.0854,1547.6067,1549.1725,1550.7825
191,1543.175,1544.6141,1546.087,1547.6067,1549.1725,1550.7841
192,1543.1726,1544.6133,1546.0854,1547.6059,1549.1709,1550.7833
193,1543.1766,1544.6133,1546.0846,1547.6067,1549.1709,1550.7833
194,1543.1766,1544.6109,1546.087,1547.6059,1549.1717,1550.7825
195,1543.1695,1544.6125,1546.0854,1547.6067,1549.1709,1550.7841
196,1543.1726,1544.6117,1546.0854,1547.6059,1549.1717,1550.7833
197,1543.1695,1544.6117,1546.0862,1547.6075,1549.1733,1550.7841
198,1543.1718,1544.6117,1546.0878,1547.6067,1549.1725,1550.7833
199,1543.1695,1544.6125,1546.0878,1547.6059,1549.1717,1550.7825
200,1543.1869,1544.6348,1546.1022,1547.6186,1549.1765,1550.7793
201,1543.1885,1544.6316,1546.1006,1547.6186,1549.1765,1550.7801
202,1543.1893,1544.6324,1546.1014,1547.6194,1549.1773,1550.7785
203,1543.1885,1544.6332,1546.0998,1547.6178,1549.1765,1550.7793
204,1543.1893,1544.6332,1546.1022,1547.6178,1549.1757,1550.7809
205,1543.1877,1544.6316,1546.1014,1547.6194,1549.1765,1550.7801
206,1543.1854,1544.6324,1546.1022,1547.6186,1549.1757,1550.7793
207,1543.1901,1544.6316,1546.1014,1547.6186,1549.1773,1550.7793
208,1543.1885,1544.6332,1546.1022,1547.6194,1549.1765,1550.7793
209,1543.1861,1544.6324,1546.103,1547.6194,1549.1757,1550.7793
210,1543.1877,1544.6332,1546.1022,1547.6194,1549.1757,1550.7793
211,1543.1901,1544.6316,1546.1006,1547.6186,1549.1749,1550.7793
212,1543.1893,1544.6324,1546.1014,1547.6194,1549.1757,1550.7785
213,1543.1877,1544.63,1546.1006,1547.6202,1549.1765,1550.7793
214,1543.1877,1544.6293,1546.1006,1547.6202,1549.1749,1550.7785
215,1543.1885,1544.6308,1546.1006,1547.6194,1549.1757,1550.7793
216,1543.1893,1544.6308,1546.1006,1547.6194,1549.1765,1550.7801
217,1543.1877,1544.63,1546.1006,1547.6194,1549.1765,1550.7793
218,1543.1877,1544.6308,1546.1014,1547.6194,1549.1757,1550.7793
219,1543.1869,1544.63,1546.0998,1547.6194,1549.1749,1550.7785
220,1543.1885,1544.6316,1546.099,1547.6194,1549.1757,1550.7785
221,1543.1877,1544.6285,1546.0998,1547.6186,1549.1757,1550.7793
222,1543.1877,1544.6293,1546.1006,1547.6194,1549.1765,1550.7793
223,1543.1869,1544.6308,1546.1006,1547.6194,1549.1765,1550.7793
224,1543.1877,1544.6324,1546.1006,1547.6186,1549.1757,1550.7801
225,1543.1893,1544.6308,1546.1022,1547.6186,1549.1765,1550.7801
226,1543.1861,1544.6308,1546.1014,1547.6194,1549.1757,1550.7785
227,1543.1869,1544.6316,1546.0998,1547.6194,1549.1765,1550.7801
228,1543.1885,1544.6308,1546.1014,1547.6186,1549.1757,1550.7809
229,1543.1893,1544.6316,1546.1006,1547.6186,1549.1765,1550.7793
230,1543.1854,1544.63,1546.1006,1547.6194,1549.1757,1550.7793
231,1543.1885,1544.6324,1546.0998,1547.6186,1549.1741,1550.7801
232,1543.1854,1544.6316,1546.1014,1547.6186,1549.1741,1550.7801
233,1543.1885,1544.6324,1546.1014,1547.6186,1549.1749,1550.7825
234,1543.1901,1544.6316,1546.0998,1547.6178,1549.1741,1550.7809
235,1543.1901,1544.634,1546.1014,1547.6194,1549.1757,1550.7817
236,1543.1901,1544.6332,1546.1006,1547.6194,1549.1749,1550.7801
237,1543.1893,1544.6332,1546.1014,1547.6194,1549.1749,1550.7817
238,1543.1893,1544.634,1546.1014,1547.6194,1549.1757,1550.7817
239,1543.1909,1544.6348,1546.1006,1547.6202,1549.1749,1550.7801
240,1543.1893,1544.6348,1546.1006,1547.621,1549.1765,1550.7801
241,1543.1909,1544.634,1546.1014,1547.6202,1549.1749,1550.7801
242,1543.1901,1544.6348,1546.1014,1547.6202,1549.1757,1550.7793
243,1543.1893,1544.6364,1546.1014,1547.621,1549.1757,1550.7801
244,1543.1893,1544.6348,1546.1014,1547.621,1549.1757,1550.7793
245,1543.1893,1544.6364,1546.1014,1547.6194,1549.1749,1550.7793
246,1543.1877,1544.6356,1546.1038,1547.6194,1549.1749,1550.7801
247,1543.1901,1544.6364,1546.1014,1547.6194,1549.1757,1550.7817
248,1543.1893,1544.6372,1546.1022,1547.6194,1549.1757,1550.7809
249,1543.1877,1544.6356,1546.1006,1547.6194,1549.1765,1550.7817
250,1543.1861,1544.6324,1546.1022,1547.6186,1549.1757,1550.7801
251,1543.1893,1544.6372,1546.1014,1547.6186,1549.1765,1550.7793
252,1543.1885,1544.6348,1546.1022,1547.6186,1549.1757,1550.7801
253,1543.1885,1544.6364,1546.103,1547.6178,1549.1765,1550.7801
254,1543.1901,1544.6364,1546.1014,1547.6178,1549.1765,1550.7809
255,1543.1893,1544.6332,1546.1022,1547.6194,1549.1765,1550.7793
256,1543.1877,1544.6348,1546.1022,1547.6194,1549.1773,1550.7801
257,1543.1885,1544.634,1546.1014,1547.6178,1549.1765,1550.7809
258,1543.1877,1544.6348,1546.1006,1547.6186,1549.1765,1550.7809
259,1543.1877,1544.634,1546.1006,1547.6194,1549.1765,1550.7801
260,1543.1869,1544.6356,1546.1014,1547.6202,1549.1765,1550.7793
261,1543.1869,1544.634,1546.1014,1547.6194,1549.1773,1550.7793
262,1543.1869,1544.6348,1546.1006,1547.6194,1549.1765,1550.7785
263,1543.1877,1544.6348,1546.1006,1547.6194,1549.1773,1550.7801
264,1543.1885,1544.6356,1546.1006,1547.6194,1549.1765,1550.7817
265,1543.1869,1544.6364,1546.1006,1547.6178,1549.1765,1550.7793
266,1543.1885,1544.6348,1546.1006,1547.6186,1549.1773,1550.7793
267,1543.1869,1544.634,1546.0998,1547.6194,1549.1757,1550.7801
268,1543.1869,1544.6364,1546.1006,1547.6194,1549.1765,1550.7801
269,1543.1893,1544.634,1546.1022,1547.6186,1549.1757,1550.7801
270,1543.1893,1544.6356,1546.1022,1547.6194,1549.1773,1550.7801
271,1543.1869,1544.634,1546.1006,1547.6194,1549.1765,1550.7801
272,1543.1877,1544.634,1546.1022,1547.6194,1549.1765,1550.7809
273,1543.1854,1544.6356,1546.1014,1547.6186,1549.1765,1550.7793
274,1543.1869,1544.634,1546.1022,1547.6202,1549.1765,1550.7809
275,1543.1885,1544.6348,1546.103,1547.6202,1549.1765,1550.7793
276,1543.1861,1544.6348,1546.1022,1547.6194,1549.1765,1550.7801
277,1543.1885,1544.6372,1546.1014,1547.6202,1549.1765,1550.7793
278,1543.1877,1544.6356,1546.1014,1547.6202,1549.1765,1550.7785
279,1543.1869,1544.6364,1546.103,1547.6202,1549.1765,1550.7785
280,1543.1869,1544.6348,1546.1022,1547.6202,1549.1765,1550.7793
281,1543.1893,1544.6372,1546.1038,1547.6194,1549.1773,1550.7793
282,1543.1885,1544.6372,1546.103,1547.6186,1549.1765,1550.7785
283,1543.1877,1544.6364,1546.103,1547.6194,1549.1773,1550.7793
284,1543.1893,1544.6356,1546.1022,1547.6186,1549.1773,1550.7801
285,1543.1885,1544.6356,1546.1038,1547.6194,1549.1757,1550.7793
286,1543.1877,1544.634,1546.1038,1547.6202,1549.1757,1550.7793
287,1543.1909,1544.6356,1546.1006,1547.6194,1549.1765,1550.7801
288,1543.1885,1544.634,1546.1038,1547.6194,1549.1757,1550.7817
289,1543.1861,1544.6356,1546.1022,1547.6194,1549.1765,1550.7801
290,1543.1909,1544.6364,1546.1014,1547.6194,1549.1765,1550.7793
291,1543.1901,1544.6356,1546.1038,1547.6194,1549.1749,1550.7809
292,1543.1901,1544.6356,1546.1022,1547.6194,1549.1757,1550.7776
293,1543.1893,1544.6364,1546.103,1547.6194,1549.1757,1550.7793
294,1543.1885,1544.634,1546.1014,1547.6202,1549.1741,1550.7793
295,1543.1877,1544.634,1546.1022,1547.6194,1549.1749,1550.7793
296,1543.1901,1544.6364,1546.1038,1547.6202,1549.1757,1550.7785
297,1543.1901,1544.634,1546.103,1547.621,1549.1757,1550.7785
298,1543.1893,1544.6332,1546.1022,1547.6202,1549.1757,1550.7801
299,1543.1877,1544.6356,1546.1022,1547.6202,1549.1741,1550.7793
300,1543.1869,1544.6348,1546.103,1547.6194,1549.1749,1550.7793
301,1543.1877,1544.6356,1546.103,1547.6202,1549.1741,1550.7801
302,1543.1877,1544.6364,1546.1022,1547.621,1549.1749,1550.7793
303,1543.1869,1544.6356,1546.1022,1547.6202,1549.1749,1550.7776
304,1543.1869,1544.6356,1546.1022,1547.6202,1549.1749,1550.7785
305,1543.1893,1544.6332,1546.1022,1547.6202,1549.1741,1550.7801
306,1543.1854,1544.634,1546.103,1547.621,1549.1757,1550.7768
307,1543.1893,1544.6332,1546.103,1547.6202,1549.1749,1550.7793
308,1543.1877,1544.6364,1546.1022,1547.6202,1549.1741,1550.7801
309,1543.1893,1544.634,1546.1014,1547.6194,1549.1749,1550.7785
310,1543.1893,1544.6364,1546.1038,1547.6194,1549.1749,1550.7801
311,1543.1869,1544.6348,1546.1014,1547.621,1549.1757,1550.7785
312,1543.1893,1544.6348,1546.1022,1547.6194,1549.1741,1550.7793
313,1543.1893,1544.6356,1546.1014,1547.6194,1549.1741,1550.7785
314,1543.1885,1544.6364,1546.1014,1547.6202,1549.1757,1550.7793
315,1543.1885,1544.6348,1546.1022,1547.621,1549.1749,1550.7793
316,1543.1877,1544.634,1546.1022,1547.6194,1549.1749,1550.7801
317,1543.1861,1544.6348,1546.1014,1547.6202,1549.1757,1550.7785
318,1543.1893,1544.6356,1546.103,1547.621,1549.1749,1550.7801
319,1543.1877,1544.6332,1546.1014,1547.621,1549.1749,1550.7793
320,1543.1893,1544.6356,1546.1014,1547.621,1549.1757,1550.7785
321,1543.1877,1544.6332,1546.103,1547.6202,1549.1757,1550.7793
322,1543.1885,1544.6324,1546.103,1547.621,1549.1749,1550.7785
323,1543.1885,1544.6348,1546.1038,1547.6194,1549.1749,1550.7801
324,1543.1885,1544.634,1546.1022,1547.6202,1549.1749,1550.7809
325,1543.1861,1544.6324,1546.103,1547.6194,1549.1757,1550.7817
326,1543.1861,1544.6324,1546.103,1547.621,1549.1757,1550.7809
327,1543.1869,1544.6324,1546.103,1547.6194,1549.1757,1550.7793
328,1543.1869,1544.6324,1546.1022,1547.6194,1549.1749,1550.7793
329,1543.1877,1544.6324,1546.1046,1547.621,1549.1749,1550.7801
330,1543.1901,1544.6332,1546.1038,1547.6194,1549.1757,1550.7801
331,1543.1869,1544.6356,1546.1038,1547.6202,1549.1757,1550.7801
332,1543.1846,1544.6332,1546.1038,1547.6202,1549.1757,1550.7801
333,1543.1885,1544.6324,1546.1038,1547.6202,1549.1757,1550.7801
334,1543.1869,1544.634,1546.103,1547.6194,1549.1757,1550.7801
335,1543.1885,1544.6348,1546.1022,1547.6194,1549.1757,1550.7793
336,1543.1901,1544.6332,1546.103,1547.6194,1549.1765,1550.7793
337,1543.1893,1544.6324,1546.1046,1547.6194,1549.1757,1550.7801
338,1543.1893,1544.634,1546.103,1547.6202,1549.1765,1550.7785
339,1543.1909,1544.6348,1546.1022,1547.6194,1549.1757,1550.7817
340,1543.1893,1544.634,1546.103,1547.6202,1549.1757,1550.7809
341,1543.1885,1544.6356,1546.103,1547.6202,1549.1749,1550.7809
342,1543.1901,1544.6332,1546.1038,1547.6202,1549.1773,1550.7793
343,1543.1877,1544.6324,1546.1038,1547.621,1549.1749,1550.7801
344,1543.1877,1544.634,1546.1046,1547.6194,1549.1749,1550.7801
345,1543.1877,1544.6332,1546.1038,1547.6194,1549.1757,1550.7793
346,1543.1885,1544.6332,1546.1054,1547.6194,1549.1757,1550.7801
347,1543.1909,1544.6332,1546.1054,1547.6178,1549.1749,1550.7809
348,1543.1877,1544.634,1546.1046,1547.6186,1549.1757,1550.7785
349,1543.1885,1544.6332,1546.1038,1547.6186,1549.1765,1550.7793
350,1543.1885,1544.6324,1546.1022,1547.6178,1549.1757,1550.7801
351,1543.1893,1544.6332,1546.103,1547.6178,1549.1749,1550.7801
352,1543.1877,1544.6356,1546.1046,1547.6178,1549.1749,1550.7801
353,1543.1877,1544.6356,1546.103,1547.617,1549.1749,1550.7801
354,1543.1893,1544.6348,1546.1046,1547.617,1549.1749,1550.7809
355,1543.1893,1544.6332,1546.1038,1547.617,1549.1749,1550.7801
356,1543.1885,1544.6332,1546.103,1547.6162,1549.1741,1550.7809
357,1543.1877,1544.6332,1546.1038,1547.6162,1549.1757,1550.7809
358,1543.1877,1544.6324,1546.1038,1547.6155,1549.1741,1550.7785
359,1543.1885,1544.6324,1546.1038,1547.6162,1549.1765,1550.7793
360,1543.1893,1544.6308,1546.1022,1547.617,1549.1757,1550.7801
361,1543.1893,1544.6324,1546.103,1547.6178,1549.1757,1550.7801
362,1543.1893,1544.6324,1546.1046,1547.617,1549.1749,1550.7809
363,1543.1893,1544.6316,1546.1054,1547.617,1549.1765,1550.7809
364,1543.1869,1544.6348,1546.1038,1547.6162,1549.1757,1550.7793
365,1543.1885,1544.634,1546.1038,1547.6162,1549.1765,1550.7793
366,1543.1877,1544.6348,1546.1046,1547.6162,1549.1765,1550.7801
367,1543.1877,1544.6348,1546.1054,1547.6162,1549.1757,1550.7793
368,1543.1885,1544.6332,1546.103,1547.617,1549.1749,1550.7793
369,1543.1893,1544.6332,1546.1054,1547.617,1549.1765,1550.7793
370,1543.1901,1544.634,1546.1046,1547.617,1549.1749,1550.7793
