,time,temperature,ctwl
112,2022/7/30 11:43:19,348.5,1542.5787
113,2022/7/30 11:43:29,352.5,1542.5914
114,2022/7/30 11:43:39,355.6,1542.6216
115,2022/7/30 11:43:49,357.7,1542.6732
116,2022/7/30 11:43:59,359.2,1542.7192
117,2022/7/30 11:44:09,360.7,1542.7676
118,2022/7/30 11:44:19,361.9,1542.8256
119,2022/7/30 11:44:29,363.1,1542.8764
120,2022/7/30 11:44:39,364.2,1542.9383
121,2022/7/30 11:44:49,365.2,1542.9923
122,2022/7/30 11:44:59,366,1543.0471
123,2022/7/30 11:45:09,366.8,1543.1004
124,2022/7/30 11:45:19,367.4,1543.1409
125,2022/7/30 11:45:29,367.9,1543.1814
126,2022/7/30 11:45:39,368.3,1543.2163
127,2022/7/30 11:45:49,368.5,1543.2497
128,2022/7/30 11:45:59,368.6,1543.2696
129,2022/7/30 11:46:09,368.7,1543.291
130,2022/7/30 11:46:19,368.7,1543.3077
131,2022/7/30 11:46:29,368.7,1543.3228
132,2022/7/30 11:46:39,368.5,1543.3323
133,2022/7/30 11:46:49,368.3,1543.3434
134,2022/7/30 11:46:59,368,1543.3514
135,2022/7/30 11:47:09,367.7,1543.3538
136,2022/7/30 11:47:19,367.4,1543.3593
137,2022/7/30 11:47:29,367,1543.3673
138,2022/7/30 11:47:39,366.6,1543.3641
139,2022/7/30 11:47:49,366.1,1543.3641
140,2022/7/30 11:47:59,365.6,1543.3593
141,2022/7/30 11:48:09,365.1,1543.3562
142,2022/7/30 11:48:19,364.6,1543.357
143,2022/7/30 11:48:29,364,1543.353
144,2022/7/30 11:48:39,363.5,1543.3482
145,2022/7/30 11:48:49,362.9,1543.3419
146,2022/7/30 11:48:59,362.3,1543.3299
147,2022/7/30 11:49:09,361.8,1543.326
148,2022/7/30 11:49:19,361.3,1543.3252
149,2022/7/30 11:49:29,360.8,1543.3069
150,2022/7/30 11:49:39,360.4,1543.3029
151,2022/7/30 11:49:49,360,1543.2997
152,2022/7/30 11:49:59,359.6,1543.2918
153,2022/7/30 11:50:09,359.3,1543.2839
154,2022/7/30 11:50:19,359.1,1543.2791
155,2022/7/30 11:50:29,358.9,1543.2704
156,2022/7/30 11:50:39,358.8,1543.2545
157,2022/7/30 11:50:49,358.7,1543.2513
158,2022/7/30 11:50:59,358.7,1543.2457
159,2022/7/30 11:51:09,358.7,1543.237
160,2022/7/30 11:51:19,358.7,1543.2338
161,2022/7/30 11:51:29,358.7,1543.2275
162,2022/7/30 11:51:39,358.8,1543.2259
163,2022/7/30 11:51:49,358.8,1543.2195
164,2022/7/30 11:51:59,358.9,1543.2203
165,2022/7/30 11:52:09,359,1543.2179
166,2022/7/30 11:52:19,359,1543.2155
167,2022/7/30 11:52:29,359,1543.2163
168,2022/7/30 11:52:39,359.1,1543.2187
169,2022/7/30 11:52:49,359.1,1543.2163
170,2022/7/30 11:52:59,359.1,1543.2179
171,2022/7/30 11:53:09,359,1543.2171
172,2022/7/30 11:53:19,359,1543.2179
173,2022/7/30 11:53:29,359,1543.2179
174,2022/7/30 11:53:39,358.9,1543.2219
175,2022/7/30 11:53:49,358.8,1543.2251
176,2022/7/30 11:53:59,358.8,1543.2259
177,2022/7/30 11:54:09,358.7,1543.2251
178,2022/7/30 11:54:19,358.6,1543.2243
179,2022/7/30 11:54:29,358.5,1543.2235
180,2022/7/30 11:54:39,358.4,1543.2267
181,2022/7/30 11:54:49,358.3,1543.2227
182,2022/7/30 11:54:59,358.2,1543.2243
183,2022/7/30 11:55:09,358.1,1543.2219
184,2022/7/30 11:55:19,358,1543.2211
185,2022/7/30 11:55:29,358,1543.2235
186,2022/7/30 11:55:39,357.9,1543.2203
187,2022/7/30 11:55:49,357.8,1543.2211
188,2022/7/30 11:55:59,357.8,1543.2155
189,2022/7/30 11:56:09,357.7,1543.2155
190,2022/7/30 11:56:19,357.7,1543.2155
191,2022/7/30 11:56:29,357.6,1543.2084
192,2022/7/30 11:56:39,357.6,1543.21
