,ctwl/nm,transmissionDepth/dB,r/%,n_ac,n_dc
235,1551.602972,5.041590239,0.686786137,6.09E-05,
236,1551.610121,5.039140902,0.68660944,6.09E-05,
237,1551.669202,3.459359878,0.549116843,4.90E-05,
238,1551.679331,3.458238478,0.549000405,4.90E-05,
239,1551.681771,3.456486175,0.548818397,4.90E-05,
240,1551.68261,3.457940346,0.548969444,4.90E-05,
241,1551.677696,3.456790216,0.548849983,4.90E-05,
242,1551.682801,3.459041546,0.549083793,4.90E-05,
243,1551.61416,3.691251146,0.572560271,5.09E-05,
244,1551.640645,3.971355074,0.59925834,5.30E-05,
245,1551.609552,3.688141277,0.572254083,5.08E-05,
246,1551.648417,3.972262501,0.599342064,5.30E-05,
247,1551.649059,3.971914742,0.59930998,5.30E-05,
248,1551.654812,3.970809152,0.599207963,5.30E-05,
249,1551.648359,3.166147987,0.517624545,4.66E-05,
250,1551.658355,3.167048168,0.517724519,4.66E-05,
251,1551.659791,3.166077516,0.517616718,4.66E-05,
252,1551.659717,3.167058186,0.517725631,4.66E-05,
253,1551.663943,3.168671588,0.517904763,4.67E-05,
254,1551.670587,3.167437459,0.517767747,4.67E-05,
255,1551.656049,9.021084371,0.874717168,8.74E-05,
256,1551.660283,9.021674233,0.874734183,8.74E-05,
257,1551.664163,9.021244582,0.874721789,8.74E-05,
258,1551.660372,9.021197332,0.874720426,8.74E-05,
259,1551.676098,7.582730941,0.825527531,7.82E-05,
260,1551.684792,7.581119974,0.825462801,7.82E-05,
261,1551.558447,5.023515118,0.68547984,6.08E-05,
262,1551.55724,5.022911036,0.685436089,6.08E-05,
263,1551.557654,5.023123595,0.685451484,6.08E-05,
264,1551.566395,5.021416307,0.685327805,6.08E-05,
265,1551.700553,1.807978085,0.340519146,3.44E-05,
266,1551.707979,1.809804325,0.340796404,3.44E-05,
267,1551.702427,1.808702308,0.340629111,3.44E-05,
268,1551.703268,1.808190044,0.340551332,3.44E-05,
269,1551.714259,1.808353242,0.340576112,3.44E-05,
270,1551.714306,1.808585069,0.340611311,3.44E-05,
271,1551.691512,0.836345435,0.175168085,2.29E-05,
272,1551.727255,1.81008134,0.34083845,3.44E-05,
273,1551.705066,0.834788016,0.17487224,2.29E-05,
274,1551.65331,0.863934414,0.180391302,2.33E-05,
275,1551.661653,0.865312253,0.180651289,2.33E-05,
276,1551.663546,0.863248181,0.180261785,2.33E-05,
277,1551.66121,0.864105457,0.180423581,2.33E-05,
278,1551.669476,0.865279055,0.180645026,2.33E-05,
279,1551.66409,0.863448953,0.18029968,2.33E-05,
280,1551.725297,0.634825063,0.135992537,1.99E-05,
281,1551.733173,0.638777316,0.136778461,2.00E-05,
282,1551.74064,0.637224095,0.136469681,2.00E-05,
283,1551.751738,0.034143446,0.007830996,4.57E-06,
284,1551.753678,0.035696978,0.008185845,4.67E-06,
285,1551.754908,0.036109201,0.008279981,4.69E-06,
286,1551.755209,0.036222946,0.008305955,4.70E-06,
287,1551.598845,3.607567414,0.564244117,5.02E-05,
288,1551.767646,0.033496451,0.007683175,4.52E-06,
289,1551.770823,0.032942458,0.007556586,4.48E-06,
290,1551.767739,0.035285472,0.008091863,4.64E-06,
291,1551.608359,3.608854122,0.564373202,5.02E-05,
292,1551.606347,3.611144043,0.564602836,5.02E-05,
293,1551.687926,3.577140765,0.561180495,5.00E-05,
294,1551.690009,3.577572473,0.561224113,5.00E-05,
295,1551.612701,3.610695129,0.564557828,5.02E-05,
296,1551.692021,3.575805781,0.561045585,4.99E-05,
297,1551.616476,3.61247747,0.564736497,5.02E-05,
298,1551.629501,1.382646675,0.272663583,2.98E-05,
299,1551.695962,3.576312083,0.561096755,4.99E-05,
300,1551.63147,1.385606518,0.273159115,2.98E-05,
301,1551.70519,3.575276789,0.560992115,4.99E-05,
302,1551.705171,3.578396918,0.5613074,5.00E-05,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
