,time,temperature,ctwl
128,2022/9/4 10:39:40,297.3,1541.4294
129,2022/9/4 10:39:46,299.1,1541.4429
130,2022/9/4 10:39:52,301,1541.4643
131,2022/9/4 10:39:58,302.7,1541.4738
132,2022/9/4 10:40:04,304.5,1541.4976
133,2022/9/4 10:40:10,306.4,1541.5333
134,2022/9/4 10:40:16,308.3,1541.5507
135,2022/9/4 10:40:22,310.1,1541.5919
136,2022/9/4 10:40:28,312,1541.6054
137,2022/9/4 10:40:34,313.8,1541.6252
138,2022/9/4 10:40:40,315.7,1541.6514
139,2022/9/4 10:40:46,317.5,1541.6585
140,2022/9/4 10:40:52,319.3,1541.7069
141,2022/9/4 10:40:58,321.2,1541.7172
142,2022/9/4 10:41:04,323.1,1541.7434
143,2022/9/4 10:41:10,325,1541.7822
144,2022/9/4 10:41:16,326.9,1541.7798
145,2022/9/4 10:41:22,328.8,1541.8211
146,2022/9/4 10:41:28,330.6,1541.8456
147,2022/9/4 10:41:34,332.5,1541.8694
148,2022/9/4 10:41:40,334.4,1541.8972
149,2022/9/4 10:41:46,336.3,1541.9194
150,2022/9/4 10:41:52,338.2,1541.9329
151,2022/9/4 10:41:58,340.1,1541.9559
152,2022/9/4 10:42:04,342,1541.959
153,2022/9/4 10:42:10,343.8,1542.0185
154,2022/9/4 10:42:16,345.7,1542.0471
155,2022/9/4 10:42:22,347.6,1542.0598
156,2022/9/4 10:42:28,349.6,1542.0963
157,2022/9/4 10:42:34,351.4,1542.1082
158,2022/9/4 10:42:40,353.4,1542.1296
159,2022/9/4 10:42:46,355.3,1542.1708
160,2022/9/4 10:42:52,357.2,1542.2042
161,2022/9/4 10:42:58,359,1542.2097
162,2022/9/4 10:43:04,360.9,1542.2573
163,2022/9/4 10:43:10,362.8,1542.2676
164,2022/9/4 10:43:16,364.7,1542.3041
165,2022/9/4 10:43:22,366.6,1542.3295
166,2022/9/4 10:43:28,368.5,1542.3398
167,2022/9/4 10:43:34,370.3,1542.3819
168,2022/9/4 10:43:40,372.2,1542.4104
169,2022/9/4 10:43:46,374.1,1542.4382
170,2022/9/4 10:43:52,376,1542.4692
171,2022/9/4 10:43:58,377.9,1542.4946
172,2022/9/4 10:44:04,379.8,1542.5192
173,2022/9/4 10:44:10,381.7,1542.5279
174,2022/9/4 10:44:16,383.6,1542.5589
175,2022/9/4 10:44:22,385.4,1542.5858
176,2022/9/4 10:44:28,387.3,1542.6128
177,2022/9/4 10:44:34,389.2,1542.6486
178,2022/9/4 10:44:40,391,1542.674
179,2022/9/4 10:44:46,393,1542.7002
180,2022/9/4 10:44:52,394.8,1542.7335
181,2022/9/4 10:44:58,396.8,1542.7597
182,2022/9/4 10:45:04,398.6,1542.7732
183,2022/9/4 10:45:10,400.5,1542.8073
184,2022/9/4 10:45:16,402.3,1542.8288
185,2022/9/4 10:45:22,404.2,1542.8375
186,2022/9/4 10:45:28,406.1,1542.8859
187,2022/9/4 10:45:34,407.9,1542.8978
188,2022/9/4 10:45:40,409.9,1542.9256
189,2022/9/4 10:45:46,411.9,1542.955
190,2022/9/4 10:45:52,413.7,1542.9868
191,2022/9/4 10:45:58,415.5,1543.0003
192,2022/9/4 10:46:04,417.4,1543.0392
193,2022/9/4 10:46:10,419.3,1543.0583
194,2022/9/4 10:46:16,421.3,1543.0813
195,2022/9/4 10:46:22,423.2,1543.1139
196,2022/9/4 10:46:28,425.2,1543.1305
197,2022/9/4 10:46:34,426.9,1543.1623
198,2022/9/4 10:46:40,428.8,1543.1726
199,2022/9/4 10:46:46,430.6,1543.2147
200,2022/9/4 10:46:52,432.5,1543.2338
201,2022/9/4 10:46:58,434.7,1543.2441
202,2022/9/4 10:47:04,436.5,1543.287
203,2022/9/4 10:47:10,438.2,1543.2997
204,2022/9/4 10:47:16,440,1543.3411
205,2022/9/4 10:47:22,441.8,1543.353
206,2022/9/4 10:47:28,443.7,1543.3999
207,2022/9/4 10:47:34,445.7,1543.4086
208,2022/9/4 10:47:40,447.5,1543.4483
209,2022/9/4 10:47:46,449.5,1543.4746
210,2022/9/4 10:47:52,451.3,1543.4904
211,2022/9/4 10:47:58,453.2,1543.523
212,2022/9/4 10:48:04,455.2,1543.5389
213,2022/9/4 10:48:10,457,1543.5802
214,2022/9/4 10:48:16,459.1,1543.5834
215,2022/9/4 10:48:22,461.1,1543.6263
216,2022/9/4 10:48:28,462.9,1543.6518
217,2022/9/4 10:48:34,464.6,1543.6883
218,2022/9/4 10:48:40,466.4,1543.713
219,2022/9/4 10:48:46,468.3,1543.74
220,2022/9/4 10:48:52,470.2,1543.771
